launch_ts;ax;ay;az;alti;;483.3855
20;-144;-80;944;436.4746;;
44;-144;-80;960;436.4746;;
62;-144;-80;944;436.4746;;
80;-160;-96;976;436.4746;;
105;-144;-80;960;436.4746;;
122;-144;-80;944;436.4746;;
141;-128;-96;960;436.4746;;
164;-144;-80;960;436.4746;;
183;-144;-80;960;436.3874;;
200;-128;-80;960;436.3874;;
233;-144;-64;976;436.4746;;
249;-144;-80;960;436.4746;;
261;-160;-80;944;436.4746;;
284;-160;-64;944;436.4746;;
303;-160;-64;960;436.4746;;
320;-160;-64;960;436.4746;;
344;-144;-96;944;436.4746;;
363;-144;-80;944;436.4746;;
381;-144;-80;944;436.3874;;
417;-144;-64;960;436.3028;;
433;-144;-80;944;436.3028;;
449;-160;-80;944;436.3028;;
465;-160;-80;944;436.3028;;
483;-160;-80;944;436.3028;;
501;-144;-80;944;436.5618;;
524;-128;-80;960;436.5618;;
543;-160;-80;928;436.5618;;
561;-144;-96;944;436.5618;;
584;-144;-80;944;436.5618;;
621;-144;-80;944;436.5618;;
633;-144;-96;960;436.4746;;
649;-144;-96;960;436.4746;;
665;-144;-80;944;436.5618;;
681;-128;-80;944;436.5618;;
704;-160;-80;944;436.5618;;
722;-144;-80;944;436.5618;;
740;-160;-80;960;436.5618;;
766;-128;-80;960;436.5618;;
782;-160;-80;960;436.649;;
821;-160;-80;960;436.5618;;
837;-144;-80;944;436.649;;
849;-144;-80;944;436.649;;
865;-128;-96;992;436.649;;
885;-112;-80;944;436.5618;;
902;-144;-112;960;436.5618;;
920;-144;-80;944;436.5618;;
945;-144;-80;944;436.4746;;
962;-144;-80;960;436.5618;;
980;-144;-80;960;436.5618;;
1017;-128;-80;944;436.5618;;
1034;-128;-96;960;436.5618;;
1049;-144;-96;944;436.5618;;
1065;-128;-80;960;436.5618;;
1083;-144;-80;944;436.5618;;
1101;-144;-80;944;436.5618;;
1124;-144;-96;928;436.5618;;
1142;-144;-96;928;436.5618;;
1160;-144;-80;960;436.5618;;
1184;-144;-80;960;436.4746;;
1217;-128;-64;960;436.4746;;
1232;-128;-80;960;436.4746;;
1246;-128;-80;960;436.4746;;
1262;-144;-80;960;436.4746;;
1281;-128;-80;960;436.4746;;
1304;-160;-80;944;436.4746;;
1323;-144;-96;944;436.3874;;
1341;-144;-80;960;436.3874;;
1364;-144;-80;960;436.3028;;
1401;-144;-96;960;436.3874;;
1417;-144;-80;928;436.3874;;
1432;-128;-64;960;436.3874;;
1446;-128;-64;960;436.3874;;
1461;-128;-64;960;436.3874;;
1484;-144;-80;944;436.3028;;
1502;-144;-112;960;436.4746;;
1520;-144;-96;960;436.4746;;
1544;-144;-64;960;436.4746;;
1569;-144;-80;960;436.4746;;
1594;-144;-80;960;436.4746;;
1609;-160;-96;944;436.3874;;
1625;-160;-64;944;436.3874;;
1641;-144;-64;960;436.4746;;
1664;-144;-64;960;436.3874;;
1683;-144;-96;960;436.3874;;
1701;-160;-80;944;436.4746;;
1725;-160;-80;960;436.3874;;
1742;-144;-96;960;436.3874;;
1781;-144;-80;960;436.3874;;
1797;-144;-80;960;436.3874;;
1813;-144;-96;960;436.3874;;
1829;-144;-64;960;436.4746;;
1845;-128;-64;928;436.3874;;
1862;-128;-64;928;436.3874;;
1881;-144;-80;944;436.3874;;
1904;-128;-80;944;436.3874;;
1924;-128;-80;944;436.3874;;
1961;-144;-80;944;436.3874;;
1978;-160;-80;960;436.3874;;
1993;-128;-80;960;436.3874;;
2009;-144;-80;944;436.3874;;
2025;-144;-80;944;436.3874;;
2042;-144;-80;944;436.3874;;
2060;-144;-80;944;436.3874;;
2084;-160;-80;960;436.3874;;
2102;-160;-96;976;436.3874;;
2120;-160;-80;944;436.3874;;
2157;-128;-80;960;436.3874;;
2170;-128;-80;960;436.3874;;
2185;-128;-80;944;436.3874;;
2204;-144;-96;960;436.3874;;
2223;-144;-64;944;436.4746;;
2240;-128;-80;960;436.4746;;
2264;-160;-80;976;436.649;;
2283;-128;-96;944;436.649;;
2300;-144;-64;960;436.649;;
2326;-128;-80;944;436.5618;;
2361;-128;-80;944;436.3028;;
2374;-128;-80;944;436.1284;;
2389;-128;-80;960;436.4746;;
2405;-144;-80;928;436.4746;;
2421;-144;-96;944;436.3874;;
2444;-160;-80;960;436.4746;;
2463;-144;-80;944;436.3874;;
2480;-112;-96;960;436.3874;;
2504;-144;-80;944;436.3028;;
2541;-160;-96;960;436.3874;;
2553;-144;-96;944;436.4746;;
2569;-160;-96;944;436.4746;;
2585;-144;-64;960;436.3874;;
2601;-144;-64;960;436.3874;;
2624;-112;-80;944;436.3874;;
2642;-112;-80;944;436.3874;;
2661;-160;-80;960;436.3874;;
2684;-144;-80;944;436.3874;;
2705;-144;-80;960;436.3028;;
2734;-160;-80;960;436.3028;;
2749;-128;-96;944;436.3028;;
2765;-128;-96;944;436.3028;;
2781;-144;-96;976;436.3028;;
2804;-144;-80;960;436.3028;;
2823;-144;-64;960;436.3028;;
2840;-128;-80;960;436.3028;;
