millis	ax	ay	az	mx	my	mz
2095	856	-348	-472	-68250	10950	-33750
2138	852	-348	-468	-67200	10800	-34500
2186	856	-348	-468	-69000	10200	-33150
2235	856	-344	-468	-68400	10050	-33750
2288	848	-352	-464	-67800	10500	-33600
2336	852	-348	-472	-69000	10200	-33150
2395	852	-336	-468	-68700	10800	-33750
2438	856	-352	-464	-67650	10200	-34350
2487	852	-348	-472	-67650	9900	-34650
2534	852	-336	-472	-67650	10800	-33900
2588	848	-344	-468	-67950	10800	-34350
2636	856	-348	-456	-68250	10200	-33450
2685	852	-352	-464	-68400	9450	-33900
2741	860	-348	-452	-68250	10950	-33450
2786	852	-348	-464	-68250	10650	-33600
2834	856	-340	-464	-68400	9900	-34050
2888	856	-340	-464	-68700	11700	-33600
2936	852	-340	-472	-67800	10500	-33600
2984	852	-340	-464	-68250	10350	-33300
3041	876	-352	-456	-68100	10200	-34050
3086	856	-340	-468	-68250	10200	-33450
3134	864	-344	-468	-67350	10200	-33300
3188	856	-344	-456	-69000	9450	-33450
3236	860	-348	-468	-67500	11700	-32700
3284	856	-344	-460	-68250	10050	-33600
3338	864	-340	-464	-68400	10650	-33600
3422	860	-344	-476	-67950	10350	-33300
3436	860	-344	-476	-68100	9750	-33450
3488	860	-344	-464	-67800	11250	-33600
3536	852	-336	-464	-69300	10350	-34800
3584	856	-336	-456	-68700	10500	-34200
3639	860	-348	-464	-68100	10500	-33750
3698	864	-340	-452	-68700	10500	-33900
3734	852	-344	-456	-68100	9900	-34500
3788	860	-348	-468	-68700	10200	-33600
3836	856	-336	-464	-68400	10050	-33300
3884	856	-340	-460	-68550	10800	-33900
3938	864	-340	-456	-68250	9300	-34350
3986	856	-340	-464	-68100	11700	-33900
4042	844	-336	-472	-68250	10800	-33750
4089	868	-344	-452	-68550	10650	-33750
4136	860	-344	-456	-67050	9900	-34650
4184	856	-336	-468	-67800	10650	-33600
4238	856	-340	-456	-69000	9450	-34350
4286	856	-344	-456	-68550	10050	-33000
4335	860	-336	-452	-68100	10350	-33900
4394	852	-340	-460	-68100	10800	-33750
4436	864	-344	-468	-68250	9600	-33600
4484	864	-332	-452	-68550	9750	-35100
4538	864	-340	-460	-68250	9450	-34050
4586	864	-336	-456	-69150	9450	-33750
4634	864	-340	-456	-68400	10050	-33900
4717	848	-340	-460	-68850	10350	-33900
4736	860	-340	-468	-68250	9750	-33900
4784	864	-340	-456	-68550	10350	-34050
4838	860	-348	-464	-68700	10050	-34350
4887	856	-332	-456	-68550	10050	-34350
4934	864	-336	-456	-68550	9300	-34500
4988	864	-332	-456	-67950	9600	-34200
5046	856	-328	-468	-68100	10350	-33900
5084	864	-340	-456	-69300	9900	-34650
5138	864	-344	-456	-68550	9450	-34800
5186	856	-340	-460	-68850	10500	-33750
5234	868	-336	-456	-68100	9900	-33900
5288	860	-332	-460	-68250	9600	-33300
5336	864	-340	-464	-68550	10500	-33450
5393	844	-336	-468	-68700	10050	-33750
5438	860	-340	-452	-69000	9600	-33300
5487	860	-348	-460	-68100	9150	-34200
5534	868	-328	-460	-69150	10500	-34200
5588	864	-340	-452	-67950	9300	-34350
5636	868	-340	-456	-67950	9750	-33900
5693	848	-344	-444	-69000	10050	-34800
5738	856	-336	-484	-68400	10650	-33750
5786	864	-336	-480	-68100	9750	-34050
5834	856	-340	-476	-67650	10200	-34950
5977	864	-336	-440	-68250	10350	-33750
5988	864	-336	-464	-68400	8850	-33300
6001	864	-336	-464	-68400	8850	-33300
6090	856	-332	-456	-67950	9900	-33600
6100	856	-332	-456	-67950	9900	-33600
6134	860	-332	-452	-68700	9300	-33600
6188	868	-340	-456	-68100	10500	-34500
6236	868	-336	-456	-69150	10050	-34500
6284	860	-328	-452	-67650	9900	-34200
6338	864	-332	-448	-69150	10650	-34200
