Time (milliseconds),ax,ay,az,mx,my,mz,ts,alti
132167,224,-80,960,-37350,-25350,-33000,132131,410.8049
132221,256,-48,992,-36750,-26550,-33600,132200,410.9185
132254,272,-64,944,-36750,-25650,-34350,132233,410.6754
132286,240,-80,992,-36600,-25500,-34500,132264,411.2277
132353,256,-48,960,-36750,-25950,-33150,132332,410.9846
132385,288,-80,992,-37950,-25050,-34050,132364,410.7415
132417,272,-64,976,-37050,-25800,-35250,132396,411.0506
132449,240,-96,944,-38100,-25500,-34500,132428,411.6055
132517,240,-64,960,-36450,-25050,-34200,132496,411.6055
132549,240,-64,928,-36900,-25950,-34200,132528,411.7165
132581,240,-64,976,-37050,-25800,-33900,132560,410.6278
132613,240,-80,976,-36450,-25650,-33600,132592,411.4258
132645,272,-64,960,-36300,-25650,-33750,132624,411.7165
132713,240,-48,960,-37050,-25650,-33750,132692,411.7165
132745,224,-32,960,-37050,-25800,-34050,132724,411.3597
132777,240,-64,960,-35550,-25650,-33600,132756,411.3597
132810,240,-80,944,-36600,-25650,-33900,132789,411.6055
132879,208,-64,960,-36150,-26700,-34200,132856,411.1827
132912,240,-32,960,-36150,-26100,-33750,132891,410.937
132960,240,-48,976,-36000,-26400,-33300,132939,410.826
133014,256,-64,976,-36450,-25950,-34350,132993,410.2711
133062,224,-80,992,-35700,-26700,-34200,133041,411.1166
133130,224,-80,960,-36000,-25350,-34950,133109,411.6689
133164,224,-32,960,-36600,-26100,-34200,133143,410.6939
133212,224,-64,928,-35700,-26550,-35100,133191,411.1166
133262,208,-80,960,-36150,-25200,-33900,133239,411.1166
133331,224,-80,944,-36300,-25950,-34650,133308,410.2711
133362,240,-32,960,-35700,-26550,-34500,133341,410.5143
133410,224,-64,960,-36600,-25800,-34800,133389,411.6689
133464,208,-64,912,-35550,-25800,-34500,133443,411.4258
133512,240,-64,880,-34950,-25800,-34050,133491,410.6939
133577,240,16,928,-36150,-26400,-34500,133556,410.6939
133614,224,-96,992,-36600,-25500,-34500,133593,411.2462
133662,272,-112,976,-36000,-25500,-34350,133641,411.0031
133710,256,-112,1008,-36600,-25800,-33900,133689,410.4508
133764,224,-64,880,-37050,-24450,-34500,133743,411.0031
133831,64,-96,816,-36600,-26550,-34200,133808,410.8736
133862,80,-192,784,-36750,-25500,-33600,133840,411.2462
133914,192,-176,992,-37350,-26850,-33300,133893,411.6055
133964,240,-304,896,-40650,-25650,-31350,133941,411.3597
134030,384,-208,688,-43650,-24600,-31500,134009,411.6689
134064,496,-112,464,-45000,-22200,-30150,134043,410.937
134112,608,0,880,-47100,-21000,-29100,134091,411.6689
134160,736,-16,848,-49050,-19050,-28500,134139,411.1827
134214,672,-160,720,-51450,-18000,-25800,134193,411.2462
134284,768,-176,688,-57600,-15600,-21900,134261,411.6689
134313,784,-384,768,-57900,-16050,-19650,134292,411.6689
134365,976,-224,784,-60150,-15900,-18000,134343,410.7573
134412,1040,-64,704,-59850,-17100,-16800,134391,411.0031
134479,896,-272,688,-61200,-17250,-15300,134456,411.1827
134515,864,-304,544,-61350,-16950,-15150,134493,410.5143
134565,912,-320,464,-61050,-15900,-15300,134541,411.1827
134612,896,-256,320,-62100,-14400,-15450,134589,411.4919
134664,960,-320,304,-62550,-11100,-12300,134643,408.958
134730,960,-368,16,-63750,-8850,-11400,134709,410.4693
134761,960,-384,96,-64200,-9000,-10650,134740,410.2896
134815,880,-624,112,-64050,-9300,-10050,134793,409.6899
134862,576,-800,64,-65400,-11400,-8850,134841,409.5577
134931,768,-528,-96,-67350,-9450,-4350,134908,410.7785
134964,720,-336,-144,-66750,-8400,-600,134943,410.6675
135012,896,-496,-112,-67200,-6900,150,134991,409.6899
135060,1120,-640,80,-67200,-4650,2250,135039,410.1787
135115,1280,-784,16,-67050,-2400,6900,135093,409.09
135182,1136,-800,-64,-68100,-900,9600,135161,410.3557
135213,1008,-640,-176,-68100,-750,9300,135192,409.3331
135264,1008,-464,-160,-67800,750,8550,135243,410.7309
135312,944,-560,-160,-67500,1050,7500,135291,409.2671
135362,896,-560,-224,-66450,900,7800,135339,409.7559
135431,928,-592,-192,-67050,750,5250,135408,409.9329
135464,928,-592,-208,-67500,450,6150,135441,409.9329
135510,864,-688,-240,-67200,300,6750,135489,409.9329
135564,896,-704,-176,-67500,0,7050,135543,410.5327
135612,880,-640,-176,-67200,0,6000,135591,410.1787
135786,880,-480,-144,-67500,-600,9450,135765,409.4441
135818,1040,-448,-144,-68550,-750,8400,135796,409.4441
135849,944,-400,-240,-67950,-1350,9150,135828,410.1787
135883,880,-416,-224,-69450,-1650,9600,135860,410.2896
135952,496,-288,-304,-68850,-5850,9150,135928,410.3557
135983,1136,-592,-208,-68850,-7800,8550,135960,410.5988
136015,1040,-400,-112,-67800,-6150,9000,135993,410.11
136045,896,-496,-112,-68700,-6750,9000,136024,410.0466
136077,960,-464,-112,-69300,-6300,8400,136056,409.9329
136145,944,-464,-112,-67800,-7050,9150,136124,410.1787
136177,960,-480,-128,-68400,-7050,9300,136156,410.7785
136212,960,-464,-128,-69450,-6900,9150,136191,410.7785
136260,976,-464,-128,-68400,-6150,8850,136239,410.1787
136316,960,-480,-112,-69750,-6300,9000,136293,410.11
136381,944,-480,-128,-68700,-6150,9150,136360,410.3557
136413,944,-464,-128,-68100,-5700,9000,136392,409.6238
136464,928,-464,-128,-68400,-7050,8550,136443,410.11
136512,960,-464,-128,-68700,-6000,8550,136491,410.2896
136578,960,-480,-128,-69150,-6600,9000,136557,410.1575
136614,960,-480,-144,-69150,-6150,8850,136593,409.4441
136663,976,-480,-128,-68400,-6000,8850,136641,410.11
136710,976,-480,-128,-68850,-5400,8850,136689,410.0466
136764,960,-480,-128,-69450,-6600,9150,136743,410.2896
136831,976,-480,-128,-69150,-5850,9300,136808,409.3146
136861,944,-480,-112,-68400,-6600,8700,136840,409.6238
136914,944,-448,-144,-67950,-6750,9000,136893,409.5577
136964,944,-464,-144,-69000,-6000,9300,136941,410.0466
137010,960,-480,-128,-68250,-6150,9450,136989,408.8258
137080,960,-480,-112,-69750,-6300,9600,137057,409.4441
137112,944,-464,-128,-69450,-5700,8850,137091,409.8669
137164,944,-448,-128,-69600,-7050,8850,137139,409.8008
137214,976,-480,-128,-69450,-7050,8550,137193,409.6238
137283,960,-464,-128,-68100,-6600,9450,137260,409.5577
137313,944,-464,-144,-68850,-5700,8850,137292,409.8008
137364,944,-464,-112,-69750,-5850,8400,137343,410.0466
137412,976,-448,-112,-69750,-6150,9150,137391,410.4693
137460,976,-480,-112,-69150,-6150,8850,137439,410.2262
137526,960,-480,-128,-69300,-6000,9000,137505,410.2262
137562,960,-464,-128,-70050,-6750,8850,137541,409.6899
137611,960,-464,-128,-69750,-7350,8700,137589,409.6899
137664,960,-464,-144,-68250,-6450,8700,137643,410.1787
137713,960,-480,-144,-69450,-6000,9450,137691,408.958
137782,960,-464,-112,-68550,-5850,8700,137761,410.5327
137816,960,-480,-128,-68550,-6900,9600,137793,409.6899
137862,960,-480,-128,-69150,-6900,9450,137841,410.2896
137911,976,-480,-128,-68550,-5550,9150,137889,410.0466
137978,976,-496,-144,-69150,-6000,8850,137957,410.0466
