Time (milliseconds)	ax	ay	az	mx	my	mz	ts	alti
350676	48	-32	-1056	18000	12750	79950	350653	395.6435
350731	64	-48	-544	18150	13200	79800	350710	396.2592
350764	80	-48	-1216	18300	13200	79800	350743	395.3079
350795	64	-64	-992	19050	12000	80850	350774	395.8892
350860	96	-80	-1056	18300	12450	80400	350838	395.3079
350891	48	-48	-1008	18300	12750	79500	350870	396.4441
350922	64	-32	-1008	19050	13350	79350	350898	395.7994
350956	80	-80	-976	18450	12450	79800	350934	395.0015
351026	80	-48	-1024	18750	12150	79800	351003	395.1547
351056	80	-64	-992	18150	13200	80400	351034	395.4903
351087	48	-16	-976	17550	12300	80550	351066	395.7994
351120	64	-32	-992	18000	13200	80100	351098	395.0015
351152	64	-64	-1024	18750	13050	80100	351130	395.337
351220	48	-48	-976	18600	12300	80400	351198	395.337
351252	64	-32	-1008	17850	13500	79500	351231	396.2882
351284	64	-16	-992	18600	12900	79800	351262	394.938
351315	64	-48	-1008	18300	12750	79950	351294	395.0015
351347	96	-48	-992	18900	13050	80100	351326	395.4903
351417	64	-64	-1008	18450	13200	79950	351394	395.736
351448	96	-48	-1008	18900	13200	80400	351426	395.337
351491	64	-32	-1008	18150	13350	80100	351469	395.9817
351539	80	-48	-992	18600	12450	80100	351517	395.2445
351594	64	-32	-1120	18000	12150	79800	351571	396.2275
351660	96	-32	-992	18750	12600	80400	351639	395.5828
351692	64	-64	-992	18600	13200	79650	351670	395.6752
351743	80	-48	-1024	17700	12750	80100	351722	396.563
351792	64	-16	-1056	18300	12750	80550	351770	395.6752
351839	80	-16	-976	18300	13050	79950	351817	396.4732
351905	64	-48	-432	17850	12900	80100	351883	395.736
351942	48	-32	-1216	18900	12600	79650	351919	395.337
351989	48	-80	-496	19200	13050	79950	351967	395.8285
352043	48	-32	-1024	18000	12300	79800	352022	395.6435
352094	80	-48	-992	18450	12000	79500	352069	395.5828
352160	80	-16	-1008	18450	12900	79500	352139	395.4295
352192	64	-48	-1008	17700	13200	79800	352171	395.736
352242	64	-64	-992	18300	12000	80100	352219	395.9209
352288	48	-48	-1040	19200	13050	79650	352267	395.0305
352356	80	-32	-1024	17700	13950	80400	352334	395.8892
352390	80	-64	-1024	18300	12450	80850	352369	395.4295
352439	32	-48	-992	17550	12300	80100	352417	395.337
352492	64	-80	-1024	18300	12600	79950	352471	395.8285
352540	80	-32	-960	18450	12900	80700	352519	395.8285
352608	32	-32	-976	17550	12750	79650	352587	394.8455
352643	96	-32	-1008	18450	12900	80250	352621	395.8285
352690	48	-64	-1008	18300	13050	80100	352669	395.1838
352740	80	-48	-1008	18600	12600	79950	352717	396.2275
352792	80	-80	-1008	18000	12600	79800	352771	395.6435
352862	64	-64	-1024	18300	12450	79800	352839	395.337
352892	64	-48	-1008	18150	13200	79950	352871	395.3687
352944	80	-48	-1024	17400	12300	79950	352922	395.4903
352992	48	-32	-1008	18900	12150	80100	352969	396.0742
353039	64	-48	-1008	18900	12750	79950	353018	395.736
353104	80	-32	-1008	18450	13350	80550	353083	395.2445
353141	64	-48	-1024	18750	12900	79800	353119	395.736
353190	64	-16	-992	18150	13050	80100	353167	395.8892
353243	64	-48	-1008	18300	13200	79950	353221	394.8455
353309	64	-32	-928	18900	13800	79650	353287	395.4903
353340	80	-32	-944	18450	12600	79350	353319	395.2445
353396	80	-48	-1008	18300	12600	80550	353371	395.2445
353440	80	-16	-1072	18150	13350	80550	353419	396.1667
353488	-80	-160	-1456	18450	13050	81300	353467	395.6435
353556	64	-48	-1072	18000	12600	79650	353535	395.7994
353591	96	-64	-976	17700	13200	79950	353569	395.337
353638	0	64	1264	18900	12150	80400	353617	395.1838
353692	0	-736	672	18450	12750	79950	353671	395.337
353740	608	32	-1216	18600	13050	80700	353719	395.337
353810	-144	-64	0	18000	13500	79500	353787	395.1838
353842	368	208	-896	18900	13050	80250	353821	395.2762
353892	-272	-304	-1216	18900	12600	79650	353870	395.1838
353939	272	112	-880	18300	12900	80100	353917	396.135
353992	272	560	-2384	18900	12750	80550	353971	395.337
354060	128	48	-752	18300	12000	79950	354039	395.5828
354091	256	624	-1600	18600	12900	79650	354070	395.9817
354143	256	272	-944	17100	12600	79350	354121	395.736
354190	224	176	-1840	17550	12600	80100	354169	395.4903
354239	96	160	-464	18300	12450	79500	354217	395.736
354413	-96	-512	480	18000	12450	81000	354391	395.551
354446	-80	64	480	18300	12000	79650	354422	395.7994
354476	-32	-96	-1648	18450	12900	79950	354454	395.0015
354508	720	-352	1248	18750	13500	79800	354486	394.8455
354576	16	-48	-1712	18900	12750	79500	354554	395.2445
354608	-32	80	-1088	17850	13350	79950	354586	394.8455
354641	-176	128	-1264	18600	12750	79650	354619	394.938
354674	192	-96	-544	17550	12600	79950	354651	395.5828
354706	48	-176	-544	19500	12300	80400	354682	395.0015
354772	64	128	32	18300	12450	79500	354750	395.2445
354804	-160	-240	-1696	18750	12150	80100	354782	395.4903
354838	-16	-256	-944	18300	12150	79950	354817	395.4903
354892	32	-16	256	17700	13200	79800	354871	395.8285
354940	96	-16	-656	18450	12900	80250	354919	395.9209
355008	192	-64	-1360	18600	12600	80100	354987	395.1547
355042	-192	192	-1392	18150	12900	80700	355021	395.4295
